gene,trim.321ra.gtf,trim.331ra.gtf,trim.336r.gtf,trim.370r.gtf,trim.380r.gtf,trim.410r.gtf,trim.414r.gtf,trim.419r.gtf,trim.468r.gtf,trim.512r.gtf,trim.549r.gtf,trim.568r.gtf,trim.571r.gtf,trim.581r.gtf,trim.586r.gtf
Ahyacinthus26343,6.47174412,6.47174412,6.47174412,9.019305936,6.47174412,6.47174412,6.47174412,7.616422792,7.653503052,7.570677316,6.47174412,6.47174412,7.911414345,8.44287754,7.619647195
Ahyacinthus26344,7.164955607,7.066929436,6.47174412,7.561612776,6.47174412,7.708150047,7.037414194,7.842520572,7.366609275,7.360674983,8.588374538,6.47174412,6.47174412,6.47174412,7.979295855
Ahyacinthus07918,9.382751853,9.047269201,9.487109717,8.660365298,8.841426128,8.377892377,9.1404314,9.827054549,8.968416989,7.895076524,8.986652585,8.227568777,9.650659543,6.47174412,8.97965409
Ahyacinthus07914,9.194801084,9.094796203,8.90454057,9.673335284,8.740663581,8.647971891,8.272137736,9.397302531,9.048384661,8.97019637,8.216161728,7.536760123,9.341814166,6.47174412,9.123004094
Ahyacinthus07915,9.793116636,9.507453307,10.28601491,8.556900524,9.830887499,9.239108781,9.433150973,9.882591551,9.491351891,9.892284437,9.647833526,9.599361283,9.81108058,9.122791176,10.00693486
Ahyacinthus07916,8.264503781,7.860094051,8.693688204,6.47174412,8.439661202,8.300297646,8.652249,7.930034003,8.30926535,8.538915152,8.284229312,6.47174412,8.597065894,6.47174412,8.731340447
Ahyacinthus07917,9.665737796,8.811085638,9.499369065,8.375351073,8.75486194,9.433215041,9.425412155,8.40643081,8.950831042,8.435851512,9.032162886,8.561382491,9.026966714,6.47174412,9.394727362
Ahyacinthus12868,10.3154321,10.38719528,10.68395737,9.32916217,10.77139438,10.09038169,10.28509946,10.20730443,11.11229019,10.46415106,10.48852571,10.93178801,10.84282687,10.29350284,11.12038052
Ahyacinthus12866,11.72147953,11.97042623,13.19878447,10.32508492,12.21103207,11.36249639,11.34851798,12.11450495,12.11417593,12.44637867,12.66359966,11.34866607,12.26588705,11.74587715,11.7329391
Ahyacinthus12867,9.297468671,9.439011828,9.45125351,7.876711153,8.871955374,8.499696622,8.071294809,9.476776497,9.716597906,8.891701291,8.472281733,8.751383123,10.02547795,8.920099787,9.050739761
Ahyacinthus12864,12.6066596,12.49667154,11.07506622,13.52690233,11.34049648,11.56035595,12.97630831,12.6695231,11.10954792,11.91200536,11.75326573,9.915607221,10.96264961,12.57637442,11.74562836
