"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00020601",0,2459,1494,0,3826,0,1415,883,1263,0,0,1157,533,605,127,771
"Peve_00010392",0,334,112,0,362,0,38,108,75,0,0,122,0,0,0,78
"Peve_00010394",0,599,42,0,371,129,177,0,315,0,0,250,20,60,0,131
"Peve_00027300",0,3200,1183,0,2513,123,571,411,3190,0,0,649,77,238,0,916
"Peve_00022155",330,591,142,58,1160,0,735,135,1172,0,0,426,0,236,44,140
"Peve_00022150",0,1262,572,0,1681,0,1971,605,914,0,0,1098,113,250,0,356
"Peve_00027307",0,546,58,0,164,0,91,126,425,0,0,113,0,66,0,170
"Peve_00027308",0,227,76,0,120,41,76,27,85,13,0,97,21,146,0,15
"Peve_00022158",0,2902,995,0,2260,198,1051,797,3404,0,0,915,260,550,77,921
"Peve_00022159",0,1572,443,0,2321,129,0,484,579,0,0,924,0,232,49,367
"Peve_00012890",450,803,67,37,990,149,1014,0,301,135,0,1829,100,292,22,415
"Peve_00012893",767,12887,2801,95,5579,906,603,1740,1959,91,0,3530,741,1120,133,2096
"Peve_00012897",766,10408,1543,50,6832,678,752,1867,2366,77,0,2462,805,839,120,2289
"Peve_00022481",0,2223,426,0,1739,158,568,0,938,0,0,246,0,321,0,477
"Peve_00037705",0,1199,171,0,470,0,225,348,491,0,0,481,55,275,15,418
"Peve_00037704",960,5007,642,180,8188,425,1964,1232,2790,76,149,2563,180,2153,76,756
"Peve_00037707",0,1400,202,0,1061,54,128,0,393,0,0,234,0,84,30,229
"Peve_00037706",0,376,102,0,248,0,44,0,207,0,0,203,0,24,0,128
"Peve_00037701",0,620,181,0,2254,66,376,298,271,0,0,694,19,622,29,142
"Peve_00037700",0,202,19,0,182,0,85,0,146,0,0,36,62,90,0,56
"Peve_00037703",0,1647,303,0,1315,0,930,272,955,0,0,471,41,177,39,410
"Peve_00037702",0,9151,2189,0,4148,918,4843,1740,6423,0,0,3677,431,1172,185,2664
"Peve_00037709",48,2957,650,0,3253,247,344,235,1166,0,0,1292,0,197,0,523
"Peve_00002415",92,7576,1897,0,10956,460,2915,1173,4608,0,0,3110,702,1144,198,2030
"Peve_00002414",160,9631,2252,0,17182,439,5485,1152,5970,0,0,7154,0,2956,167,1742
"Peve_00002417",0,1232,354,0,1127,84,461,0,986,0,0,490,130,249,14,307
"Peve_00017628",7,172,14,0,103,0,20,40,60,0,0,35,0,5,0,20
"Peve_00017620",273,485,111,0,1065,0,408,122,495,0,0,543,10,301,4,26
"Peve_00011277",375,3544,1297,0,2313,191,1226,846,3918,0,0,1466,391,515,108,1037
"Peve_00011271",0,125,0,0,1573,0,230,98,79,0,0,16,0,305,0,523
"Peve_00011273",141,8176,1338,42,10107,464,2872,1502,5367,0,0,2993,148,1837,126,2101
"Peve_00011272",4,1310,81,0,327,0,373,137,145,8,0,54,0,147,0,26
"Peve_00024657",0,918,63,0,609,56,237,53,403,0,0,246,6,76,33,97
"Peve_00024655",51,2011,709,0,1535,130,546,607,902,30,0,744,77,177,7,511
"Peve_00024659",175,5574,1099,43,9673,200,1332,720,3701,0,0,1574,130,1195,14,1052
"Peve_00002936",58,2472,523,0,2975,0,574,212,1252,0,0,838,0,464,0,320
"Peve_00002934",0,131,47,0,140,70,65,0,67,0,0,60,0,0,0,44
"Peve_00002935",0,158,19,0,61,0,139,0,97,0,0,229,22,9,6,30
"Peve_00002930",0,218,104,0,126,89,99,99,188,0,0,71,0,0,0,104
"Peve_00023359",0,24423,3391,0,12175,985,7703,2100,12761,0,60,3676,528,1394,276,4610
"Peve_00023357",17,819,185,0,774,0,447,240,1074,0,0,318,0,12,0,116
"Peve_00023355",0,593,121,0,203,89,204,0,241,0,0,141,90,102,26,86
"Peve_00023354",348,3786,426,17,4431,0,959,337,1535,0,0,806,0,884,41,526
"Peve_00023353",63,198,29,0,324,3,98,0,271,0,0,42,0,31,6,47
"Peve_00023352",53,879,243,0,622,63,638,193,1428,0,0,76,130,87,0,130
"Peve_00023351",0,4745,596,0,3117,221,1688,629,3734,0,0,2184,70,931,80,1514
"Peve_00023350",0,584,104,0,2453,0,320,0,733,0,0,52,88,265,0,81
"Peve_00026496",0,1231,164,0,1136,60,588,119,25,0,0,808,73,92,0,323
"Peve_00026493",0,2182,238,0,1408,0,365,401,0,0,0,261,172,374,0,467
"Peve_00026491",0,99,12,0,56,28,49,0,81,0,0,126,0,0,0,33
"Peve_00026490",0,119,111,0,93,143,59,269,36,0,0,182,95,144,45,90
"Peve_00010632",0,382,0,0,550,66,40,236,50,0,0,75,0,82,0,41
