"trim.321RA.gtf","trim.331RA.gtf","trim.336R.gtf","trim.370R.gtf","trim.380R.gtf","trim.410R.gtf","trim.414R.gtf","trim.419R.gtf","trim.468R.gtf","trim.512R.gtf","trim.549R.gtf","trim.568R.gtf","trim.571R.gtf","trim.581R.gtf","trim.586R.gtf"
0,0,0,94,0,0,0,105,75,101,0,0,78,49,67
40,24,0,14,0,43,19,154,42,65,260,0,0,0,120
961,574,731,65,442,111,551,1319,404,175,394,135,517,0,388
808,601,422,171,398,151,216,907,437,635,167,46,393,0,446
1376,879,1429,58,1099,273,722,1382,659,1460,724,553,593,100,972
298,139,339,0,285,101,336,176,196,403,182,0,187,0,301
1234,453,739,47,404,326,717,330,397,358,412,201,292,0,574
2112,1829,1953,126,2333,571,1480,1804,2430,2319,1443,1618,1352,275,2322
6131,6011,12237,293,6763,1526,3345,7596,5072,10103,7202,2212,3860,827,3653
889,827,708,24,456,128,166,974,802,587,228,247,709,82,416
11606,8777,2631,3065,3583,1766,10836,11306,2425,6875,3739,724,1481,1505,3687
371,240,56,434,264,85,83,189,111,47,117,176,53,63,159
944,1187,1241,41,1007,285,720,1407,1265,971,1281,106,734,0,1317
6794,5272,1678,1251,2514,1453,6205,6241,1786,2647,1616,0,946,1263,2233
348,1228,1433,35,1017,33,61,542,520,333,291,0,163,188,1080
22,100,14,14,23,75,21,73,51,35,255,106,0,0,74
4282,2078,1032,277,3344,1112,1276,1515,4475,4523,1241,2452,2634,198,1233
4197,1874,0,0,3048,1259,2903,1684,5002,4232,939,3448,2360,274,1300
38162,30162,18332,3103,18102,7361,19083,27870,13503,21335,8929,15220,6091,3621,10905
1841,917,831,0,1113,360,1031,1192,628,1010,374,396,857,205,639
1390,600,1379,205,479,378,556,1229,455,1514,518,1263,1017,170,772
1636,2076,2155,86,1790,743,842,1447,1701,2726,726,1690,967,88,1054
203,259,121,49,185,36,133,72,66,313,113,169,83,54,110
28,80,0,0,120,37,72,54,70,44,100,0,28,0,124
276,550,732,0,397,96,393,882,118,1016,259,38,294,0,609
1720,1094,2263,68,1577,845,1727,1569,2514,2342,1393,453,1230,139,1350
1098,359,95,161,278,380,1536,481,205,315,546,1663,0,688,166
438,268,408,0,198,129,150,400,190,312,364,0,134,0,103
27054,27705,27217,17219,39105,12045,12112,30554,47060,47399,33774,25620,23349,5636,53758
2318,849,1543,608,944,710,2148,981,578,1608,1003,3932,562,254,1398
3421,2753,2859,290,2986,451,1137,2762,3007,2748,1009,1189,1131,54,1953
259,65,0,37,259,53,885,271,21,0,150,242,119,25,372
17,65,13,0,0,16,9,41,12,6,15,10,8,0,0
108,103,77,14,490,100,79,98,46,27,7,68,14,20,150
0,84,0,26,0,0,56,215,73,0,0,48,85,0,37
23,104,206,38,0,0,16,71,36,11,31,412,5,0,81
291,124,179,0,948,16,48,86,63,71,61,203,176,0,130
0,382,0,0,51,13,20,28,95,0,740,0,46,45,64
2604,1492,1446,332,1551,428,1772,1890,1300,1993,1267,810,949,148,2578
407,83,231,108,157,32,144,335,135,192,153,388,79,0,282
938,950,738,90,1261,294,781,1448,771,1194,424,863,270,93,482
2825,2678,1853,108,2959,422,1270,2310,2062,2202,1242,1332,1307,0,1635
57,21,11,2,108,2,12,29,49,36,12,12,31,0,20
142,312,162,75,181,82,83,249,76,83,100,205,108,0,29
86,101,60,0,116,0,16,163,40,42,58,190,56,0,0
90,121,150,0,0,0,23,207,25,148,0,39,0,0,115
0,52,21,0,0,26,45,66,27,34,72,395,0,0,847
884,982,803,0,806,162,108,813,756,1661,294,107,615,0,292
151,107,0,0,41,291,0,0,151,209,59,94,116,0,0
56,65,0,0,82,16,72,124,0,72,142,0,47,26,96
288,121,192,0,97,230,354,325,316,140,195,189,147,242,162
54,55,30,39,0,32,280,126,45,75,100,102,108,0,0
123490,102370,86761,38850,81111,44996,56483,72468,128862,143501,70948,115101,33149,20424,65697
437,144,152,0,97,115,664,286,319,245,244,64,77,85,108
210,217,402,0,632,0,161,142,0,545,460,825,0,0,0
385,475,987,59,1151,350,256,313,1287,919,477,1514,625,87,1068
921,760,665,182,489,463,3702,1289,641,983,1283,248,459,782,407
11911,9937,14480,1475,15212,3276,5412,13432,19415,25672,4671,3683,4942,1322,15433
2681,1709,2509,93,2866,593,1284,2207,2731,3097,1450,1151,1412,130,2385
12,22,0,0,72,18,20,49,0,62,24,0,25,0,72
3385,2740,1744,482,1184,1433,6244,2695,1060,1763,2150,659,840,593,1550
2339,1809,1011,484,1294,755,2739,2439,832,2018,1712,1046,1054,496,1630
396,54,0,76,0,51,239,35,0,34,60,0,0,0,0
1778,1588,682,250,517,1330,6314,2073,933,1317,1996,725,1251,599,1232
2362,1666,5806,367,4047,2074,535,2095,4455,6920,4032,4521,1976,405,1333
127,78,70,0,13,10,51,69,41,164,52,0,25,0,21
31,56,51,0,16,0,51,38,0,102,24,19,23,0,0
41,35,0,0,31,4,309,16,0,26,19,17,45,0,60
170,754,423,71,714,191,402,356,865,302,244,301,510,0,1185
831,954,2104,0,675,149,894,1376,1210,1184,492,232,620,87,506
1726,1247,992,125,2004,967,952,999,1034,1601,561,665,250,0,792
0,42,51,0,14,50,395,36,0,221,62,0,10,0,125
5944,4391,2624,1552,2920,1266,2894,4558,2216,4672,2207,2621,1191,561,2733
12775,10503,7582,1878,11097,4442,6538,11308,8979,11211,5615,15309,4209,1903,8504
58,36,0,0,77,19,232,128,86,113,10,318,30,0,52
152,174,250,0,117,94,230,313,266,479,79,175,151,59,324
348,235,434,0,672,145,264,284,1788,730,256,164,364,0,189
893,668,279,74,442,292,658,978,343,780,551,456,497,213,461
605,315,892,217,711,256,592,428,357,903,754,161,371,168,541
1373,1159,834,152,621,183,1108,1522,897,793,482,340,451,116,658
0,66,56,60,111,0,79,18,0,93,11,0,21,0,12
602,62,360,58,714,96,190,150,581,163,198,0,136,0,269
1268,1116,821,63,841,562,1391,1218,725,1108,790,415,650,239,943
4536,3003,9930,524,7390,1685,652,3146,9108,12237,5001,3240,5025,210,5336
25,20,0,0,0,0,18,55,126,64,0,0,0,0,55
2379,2617,2896,497,2722,791,1483,3121,1830,3988,1770,720,1313,292,2129
1195,1321,2466,418,4038,1894,1681,1266,4301,3054,2770,3133,1916,621,1741
40990,21289,31540,3296,49707,17275,12642,27108,66419,21151,25949,42506,19406,583,20917
1367,1823,5459,1496,1462,384,65,51,61,8032,2554,281,1138,101,1390
5958,2928,2976,664,2652,1813,2785,4251,2753,5808,2257,2489,1007,875,3384
2673,1526,1175,479,1206,1362,1107,2062,927,1232,668,2280,493,497,925
553,433,445,123,978,133,1227,1347,688,365,460,281,502,161,871
483,452,750,0,1072,264,1206,1226,749,209,511,108,724,65,419
82,112,7,0,13,9,39,120,45,32,7,0,15,0,5
176,167,72,0,92,44,198,417,38,70,39,38,188,0,105
1550,1623,415,165,363,623,483,524,299,370,140,42,340,0,177
643,686,461,0,376,113,433,669,519,495,386,290,403,7,700
445,245,0,0,102,26,209,622,109,167,76,65,205,4,174
