gene,trim.211r.gtf,trim.218r.gtf,trim.227r.gtf,trim.235r.gtf,trim.236r.gtf,trim.244r.gtf,trim.253r.gtf,trim.61r.gtf,trim.71r.gtf,trim.76r.gtf,trim.82r.gtf,trim.86r.gtf
Peve_00020601,9.356660681,10.59984923,9.980394106,6.391015158,9.946798692,10.30874766,9.138941398,9.618954282,11.03089703,9.941636556,10.62685428,9.739005609
Peve_00010391,7.116789595,7.156181572,6.998368798,6.391015158,6.788865902,8.315617508,6.828055823,6.391015158,6.391015158,6.391015158,6.391015158,6.946990584
Peve_00010393,6.578481488,6.391015158,6.858237158,8.125871371,7.522295878,6.391015158,7.006765732,6.391015158,6.391015158,7.453309612,6.391015158,6.391015158
Peve_00010392,7.646834725,7.924569129,7.751720852,6.391015158,7.12488432,8.117775181,7.157511768,7.633209303,6.391015158,6.391015158,6.391015158,7.669247179
Peve_00010394,8.035846014,7.356826936,7.767368625,8.984827877,7.919498653,6.391015158,7.909357263,8.119415521,7.686478755,7.761414587,6.391015158,8.015127302
Peve_00027300,9.657917507,10.30129539,9.48351242,8.935931122,8.927140195,9.392741222,10.22094964,8.982609901,8.748110182,8.897000154,6.391015158,9.945936447
Peve_00022155,8.025873026,8.098770673,8.672736567,6.391015158,9.192225051,8.297197861,9.059696494,8.571152582,6.391015158,8.88847953,9.340317564,8.064628475
Peve_00027304,7.552229403,7.275323955,7.792950846,6.391015158,6.391015158,6.391015158,7.65976627,6.391015158,6.391015158,7.345279344,6.391015158,7.59748985
Peve_00022150,8.666574228,9.428955725,9.043441188,6.391015158,10.35903241,9.842368357,8.806286296,9.558288067,9.139758698,8.947030472,6.391015158,8.888324959
Peve_00027307,7.968127976,7.518387396,7.324820927,6.391015158,7.510647126,8.240248928,8.129978184,7.589063614,6.391015158,7.823389621,6.391015158,8.216227684
Peve_00027308,7.43629979,7.672101422,7.193425843,7.97725721,7.418251161,7.29214112,7.205773634,7.50527795,7.716415061,8.434768454,6.391015158,6.966254045
Peve_00010806,7.031716659,6.791423919,7.193425843,6.391015158,6.391015158,8.574032837,6.391015158,6.391015158,6.391015158,8.440778264,6.391015158,7.250064383
Peve_00022158,9.544406099,10.08505044,9.363777018,9.449402727,9.593215137,10.180053,10.30263539,9.35149919,10.10574032,9.82657146,9.99519496,9.952560938
Peve_00022159,8.881389029,9.147672231,9.393596908,8.984827877,6.391015158,9.579143774,8.383646769,9.36241581,6.391015158,8.871275791,9.461285558,8.919135703
Peve_00012890,8.265598073,7.598237966,8.525508306,9.136249399,9.55177721,6.391015158,7.87798722,10.17189535,9.010930924,9.108973571,8.628120345,9.045979148
Peve_00012893,11.43971253,11.43501261,10.45250699,11.36755956,8.983049067,11.19500528,9.630133956,11.02147375,11.47449517,10.72000096,10.6868699,11.00396148
Peve_00012894,6.707479218,6.391015158,6.391015158,6.391015158,9.989984259,8.569039743,10.98854192,7.231284805,6.391015158,6.391015158,6.391015158,6.927000094
Peve_00012897,11.15143974,10.64169516,10.71444795,10.97875978,9.216997409,11.28983307,9.85379568,10.54905567,11.58741646,10.34802742,10.55350722,11.12144189
Peve_00012899,7.496071682,6.391015158,7.385825029,8.078377795,6.391015158,6.391015158,7.210428197,7.363349573,6.391015158,6.391015158,6.391015158,7.172565733
Peve_00022481,9.245292713,9.105956861,9.079090314,9.199310981,8.92177907,6.391015158,8.831961125,8.106970602,6.391015158,9.2106117,6.391015158,9.194176753
Peve_00037705,8.618341286,8.245965439,7.926127402,6.391015158,8.095239343,9.20911238,8.245102041,8.685002448,8.436514713,9.04571183,8.289074001,9.053529498
Peve_00037704,10.20075809,9.560790274,10.95265461,10.37125128,10.35451706,10.73720555,10.05447653,10.60100875,9.662155619,11.59495408,9.979216562,9.7157679
Peve_00037707,8.766474891,8.386066473,8.589016822,8.186417697,7.70643198,6.391015158,8.069955931,8.06883902,6.391015158,7.990896392,8.931782543,8.469156787
Peve_00037706,7.718585495,7.860089448,7.52969249,6.391015158,7.179394239,6.391015158,7.640067269,7.964211479,6.391015158,7.276711245,6.391015158,7.998150983
Peve_00037701,8.06162994,8.292892101,9.36080924,8.352008402,8.524613769,9.043804691,7.807627677,9.052364991,7.655647843,9.975396086,8.89736512,8.075352383
Peve_00037700,7.379332188,7.047142233,7.372932285,6.391015158,7.474802652,6.391015158,7.449196475,7.080257472,8.543921744,8.041696337,6.391015158,7.48356441
Peve_00037703,8.928591477,8.758950937,8.794049078,6.391015158,9.452905948,8.949279736,8.849855994,8.665019309,8.1899531,8.60920598,9.207853472,9.033302125
Peve_00037702,10.9797511,11.10279323,10.07964459,11.38538086,11.5475258,11.19500528,11.13035318,11.07584812,10.75043813,10.77938829,11.12287835,11.32546209
Peve_00037709,9.566056096,9.575098977,9.784584355,9.705165827,8.445009613,8.802314756,9.05430755,9.748676096,6.391015158,8.710559104,6.391015158,9.294702177
Peve_00002415,10.73090718,10.91243302,11.34272381,10.47225438,10.86583728,10.67318425,10.69143162,10.85372722,11.40107422,10.74771602,11.21395865,10.96147881
Peve_00002414,11.04775279,11.14075658,11.95861393,10.41251133,11.71786217,10.64968988,11.03270635,11.98213238,6.391015158,12.03132593,10.98641653,10.75982487
Peve_00002417,8.64382568,8.913712096,8.64541588,8.565765224,8.715158764,6.391015158,8.881889792,8.70273362,9.291906263,8.94293088,8.232311693,8.741831965
Peve_00017628,7.305542687,6.95549038,7.135741815,6.391015158,6.926106151,7.479729684,7.078168645,7.07079289,6.391015158,6.800283046,6.391015158,7.053808447
Peve_00017620,7.884904599,7.918284805,8.592504662,6.391015158,8.599623051,8.214073031,8.251744121,8.802625191,7.321900483,9.141324078,7.421365493,7.144776636
Peve_00011274,7.031716659,6.391015158,7.527506446,6.391015158,6.391015158,8.702148608,7.019267923,6.391015158,6.391015158,6.391015158,6.391015158,7.002872538
Peve_00011277,9.778521448,10.41808185,9.389722158,9.408747033,9.774232014,10.25479318,10.48165403,9.900052398,10.62353746,9.74816965,10.41831788,10.09818248
Peve_00011276,7.438503762,6.391015158,7.291114124,6.391015158,6.391015158,6.391015158,6.845757999,7.168128162,6.391015158,7.201594536,6.391015158,7.158808567
Peve_00011271,7.174113325,6.391015158,8.974482883,6.391015158,8.112122749,8.043945141,7.177207043,6.852916989,6.391015158,9.155462162,6.391015158,9.294702177
Peve_00011273,10.83085144,10.45785851,11.23391525,10.48335682,10.84625461,10.99847871,10.89149964,10.80328628,9.436707836,11.37898084,10.61660299,11.00712928
Peve_00011272,8.702178739,7.71093512,7.688562467,6.391015158,8.517355369,8.309507651,7.445720049,7.231284805,6.391015158,8.440778264,6.391015158,7.144776636
Peve_00024652,6.837674708,6.391015158,7.212728286,6.391015158,6.391015158,6.391015158,7.587561516,6.9893127,7.801440885,6.839047934,6.391015158,6.391015158
Peve_00024657,8.378429092,7.563560825,8.117225609,8.215598857,8.135367503,7.635247809,8.089038845,8.106970602,7.116966447,7.919495463,9.030106039,7.806120977
Peve_00024655,9.137015022,9.676365409,8.949367477,8.99280962,8.881803549,9.84633309,8.793262761,9.125926849,8.748110182,8.60920598,7.734157975,9.269171372
Peve_00023688,6.864535196,6.391015158,7.413530586,6.391015158,7.134272322,6.391015158,7.587561516,6.919493524,6.391015158,7.575615601,6.391015158,6.785357631
Peve_00024659,10.33579525,10.20869677,11.17494523,9.460805212,9.873584713,10.05407512,10.40878731,9.986489869,9.291906263,10.80489221,8.232311693,10.11597106
Peve_00002936,9.362544246,9.328686658,9.678866028,6.391015158,8.93248026,8.702148608,9.129601059,9.254432292,6.391015158,9.625538491,6.391015158,8.782279401
Peve_00002937,7.016330456,7.141651926,7.209546091,6.391015158,8.794192771,6.391015158,7.724571419,7.125619248,6.391015158,7.258610583,6.391015158,6.812399124
Peve_00002934,7.192229219,7.410537934,7.255921694,8.402681259,7.343793546,6.391015158,7.11636632,7.275397161,6.391015158,6.391015158,6.391015158,7.364207791
Peve_00002935,7.268686109,7.047142233,6.966689695,6.391015158,7.758048277,6.391015158,7.259813079,8.052582482,7.745518531,6.938654823,7.640502712,7.199311964
Peve_00002932,7.103368566,6.391015158,6.93799686,7.764779253,8.541394175,6.391015158,8.255051857,8.113209195,6.391015158,6.391015158,7.287897242,7.237692568
Peve_00002933,7.760648601,7.973634711,7.114181373,6.391015158,6.391015158,6.391015158,7.449196475,7.864621514,6.391015158,6.391015158,6.391015158,7.405813205
Peve_00002930,7.416214622,7.873285761,7.212728286,8.619386367,7.556408296,8.051538322,7.58456125,7.35041369,6.391015158,6.391015158,6.391015158,7.852451175
