"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","weightFisher","bh_adjust","bh_adjust_weight","ParentTerm","N_in_Parent"
"1","GO:0009167","purine ribonucleoside monophosphate meta...",189,2,0.08,7,0.00263,0.0026,1,1,"purine nucleoside monophosphate metabolic process",21
"2","GO:0046034","ATP metabolic process",215,2,0.09,11,0.00339,0.0034,1,1,"purine nucleoside monophosphate metabolic process",21
"3","GO:0045008","depyrimidination",8,1,0,12,0.00343,0.0034,1,1,"depyrimidination",4
"4","GO:0048567","ectodermal digestive tract morphogenesis",8,1,0,13,0.00343,0.0034,1,1,"ectodermal digestive tract morphogenesis",4
"5","GO:0006123","mitochondrial electron transport, cytoch...",9,1,0,15,0.00385,0.0039,1,1,"oxidative phosphorylation",11
"6","GO:0033539","fatty acid beta-oxidation using acyl-CoA...",22,1,0.01,32,0.0094,0.0094,1,1,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",5
"7","GO:0008535","respiratory chain complex IV assembly",23,1,0.01,33,0.00982,0.0098,1,1,"respiratory chain complex IV assembly",2
"8","GO:0006783","heme biosynthetic process",25,1,0.01,34,0.01068,0.0107,1,1,"heme biosynthetic process",6
"9","GO:0006119","oxidative phosphorylation",121,2,0.05,2,0.00109,0.0175,1,1,"oxidative phosphorylation",11
"10","GO:0022900","electron transport chain",154,2,0.07,5,0.00175,0.0218,1,1,"oxidative phosphorylation",11
"11","GO:0006805","xenobiotic metabolic process",651,2,0.28,65,0.02862,0.0286,1,1,"xenobiotic metabolic process",1
"12","GO:1902600","proton transmembrane transport",96,1,0.04,75,0.04048,0.0405,1,1,"proton transmembrane transport",1
"13","GO:0055086","nucleobase-containing small molecule met...",853,4,0.37,1,0.00019,0.0546,1,1,"nucleobase-containing small molecule metabolic process",4
"14","GO:0006091","generation of precursor metabolites and ...",503,2,0.22,49,0.01758,1,1,1,"oxidative phosphorylation",11
"15","GO:0006139","nucleobase-containing compound metabolic...",4646,5,1.99,48,0.0175,1,1,1,"nucleobase-containing compound metabolic process",6
"16","GO:0006163","purine nucleotide metabolic process",505,2,0.22,50,0.01771,1,1,1,"nucleobase-containing compound metabolic process",6
"17","GO:0006220","pyrimidine nucleotide metabolic process",39,1,0.02,47,0.01661,1,1,1,"pyrimidine nucleotide catabolic process",5
"18","GO:0006244","pyrimidine nucleotide catabolic process",11,1,0,20,0.00471,1,1,1,"pyrimidine nucleotide catabolic process",5
"19","GO:0006284","base-excision repair",51,1,0.02,55,0.02168,1,1,1,"depyrimidination",4
"20","GO:0006285","base-excision repair, AP site formation",13,1,0.01,25,0.00556,1,1,1,"depyrimidination",4
"21","GO:0006304","DNA modification",81,1,0.03,72,0.03424,1,1,1,"depyrimidination",4
"22","GO:0006635","fatty acid beta-oxidation",70,1,0.03,67,0.02965,1,1,1,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",5
"23","GO:0006725","cellular aromatic compound metabolic pro...",4941,5,2.12,56,0.02324,1,1,1,"nucleobase-containing compound metabolic process",6
"24","GO:0006753","nucleoside phosphate metabolic process",591,3,0.25,4,0.00136,1,1,1,"nucleobase-containing small molecule metabolic process",4
"25","GO:0006778","porphyrin-containing compound metabolic ...",43,1,0.02,51,0.0183,1,1,1,"heme biosynthetic process",6
"26","GO:0006779","porphyrin-containing compound biosynthet...",28,1,0.01,36,0.01195,1,1,1,"heme biosynthetic process",6
"27","GO:0007439","ectodermal digestive tract development",11,1,0,21,0.00471,1,1,1,"ectodermal digestive tract morphogenesis",4
"28","GO:0007442","hindgut morphogenesis",67,1,0.03,64,0.0284,1,1,1,"ectodermal digestive tract morphogenesis",4
"29","GO:0009060","aerobic respiration",172,2,0.07,6,0.00218,1,1,1,"oxidative phosphorylation",11
"30","GO:0009062","fatty acid catabolic process",110,1,0.05,80,0.04626,1,1,1,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",5
"31","GO:0009117","nucleotide metabolic process",583,3,0.25,3,0.00131,1,1,1,"nucleobase-containing small molecule metabolic process",4
"32","GO:0009123","nucleoside monophosphate metabolic proce...",217,2,0.09,14,0.00345,1,1,1,"purine nucleoside monophosphate metabolic process",21
"33","GO:0009126","purine nucleoside monophosphate metaboli...",189,2,0.08,8,0.00263,1,1,1,"purine nucleoside monophosphate metabolic process",21
"34","GO:0009141","nucleoside triphosphate metabolic proces...",264,2,0.11,22,0.00506,1,1,1,"purine nucleoside monophosphate metabolic process",21
"35","GO:0009144","purine nucleoside triphosphate metabolic...",246,2,0.11,19,0.00441,1,1,1,"purine nucleoside monophosphate metabolic process",21
"36","GO:0009150","purine ribonucleotide metabolic process",421,2,0.18,40,0.0125,1,1,1,"purine nucleoside monophosphate metabolic process",21
"37","GO:0009161","ribonucleoside monophosphate metabolic p...",200,2,0.09,9,0.00294,1,1,1,"purine nucleoside monophosphate metabolic process",21
"38","GO:0009166","nucleotide catabolic process",61,1,0.03,59,0.02588,1,1,1,"purine nucleoside monophosphate metabolic process",21
"39","GO:0009199","ribonucleoside triphosphate metabolic pr...",242,2,0.1,18,0.00427,1,1,1,"purine nucleoside monophosphate metabolic process",21
"40","GO:0009205","purine ribonucleoside triphosphate metab...",238,2,0.1,17,0.00413,1,1,1,"purine nucleoside monophosphate metabolic process",21
"41","GO:0009219","pyrimidine deoxyribonucleotide metabolic...",15,1,0.01,27,0.00642,1,1,1,"purine nucleoside monophosphate metabolic process",21
"42","GO:0009223","pyrimidine deoxyribonucleotide catabolic...",9,1,0,16,0.00385,1,1,1,"purine nucleoside monophosphate metabolic process",21
"43","GO:0009259","ribonucleotide metabolic process",437,2,0.19,42,0.01343,1,1,1,"purine nucleoside monophosphate metabolic process",21
"44","GO:0009262","deoxyribonucleotide metabolic process",33,1,0.01,43,0.01407,1,1,1,"deoxyribonucleotide catabolic process",3
"45","GO:0009264","deoxyribonucleotide catabolic process",17,1,0.01,30,0.00727,1,1,1,"deoxyribonucleotide catabolic process",3
"46","GO:0009394","2'-deoxyribonucleotide metabolic process",29,1,0.01,37,0.01237,1,1,1,"purine nucleoside monophosphate metabolic process",21
"47","GO:0015980","energy derivation by oxidation of organi...",296,2,0.13,26,0.00633,1,1,1,"oxidative phosphorylation",11
"48","GO:0017004","cytochrome complex assembly",33,1,0.01,44,0.01407,1,1,1,"respiratory chain complex IV assembly",2
"49","GO:0019395","fatty acid oxidation",99,1,0.04,76,0.04172,1,1,1,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",5
"50","GO:0019637","organophosphate metabolic process",949,3,0.41,23,0.00533,1,1,1,"purine nucleoside monophosphate metabolic process",21
"51","GO:0019646","aerobic electron transport chain",62,1,0.03,61,0.0263,1,1,1,"oxidative phosphorylation",11
"52","GO:0019692","deoxyribose phosphate metabolic process",29,1,0.01,38,0.01237,1,1,1,"purine nucleoside monophosphate metabolic process",21
"53","GO:0019693","ribose phosphate metabolic process",453,2,0.19,45,0.01439,1,1,1,"purine nucleoside monophosphate metabolic process",21
"54","GO:0022904","respiratory electron transport chain",93,1,0.04,74,0.03923,1,1,1,"oxidative phosphorylation",11
"55","GO:0033013","tetrapyrrole metabolic process",99,1,0.04,77,0.04172,1,1,1,"heme biosynthetic process",6
"56","GO:0033014","tetrapyrrole biosynthetic process",29,1,0.01,39,0.01237,1,1,1,"heme biosynthetic process",6
"57","GO:0034440","lipid oxidation",101,1,0.04,78,0.04255,1,1,1,"fatty acid beta-oxidation using acyl-CoA dehydrogenase",5
"58","GO:0034641","cellular nitrogen compound metabolic pro...",5092,5,2.18,62,0.02667,1,1,1,"nucleobase-containing compound metabolic process",6
"59","GO:0042168","heme metabolic process",38,1,0.02,46,0.01619,1,1,1,"heme biosynthetic process",6
"60","GO:0042773","ATP synthesis coupled electron transport",72,1,0.03,68,0.03049,1,1,1,"oxidative phosphorylation",11
"61","GO:0042775","mitochondrial ATP synthesis coupled elec...",72,1,0.03,69,0.03049,1,1,1,"oxidative phosphorylation",11
"62","GO:0044281","small molecule metabolic process",2061,4,0.88,24,0.00549,1,1,1,"nucleobase-containing small molecule metabolic process",4
"63","GO:0045333","cellular respiration",210,2,0.09,10,0.00323,1,1,1,"oxidative phosphorylation",11
"64","GO:0046148","pigment biosynthetic process",87,1,0.04,73,0.03674,1,1,1,"pigment biosynthetic process",1
"65","GO:0046386","deoxyribose phosphate catabolic process",16,1,0.01,28,0.00684,1,1,1,"purine nucleoside monophosphate metabolic process",21
"66","GO:0046434","organophosphate catabolic process",106,1,0.05,79,0.04461,1,1,1,"purine nucleoside monophosphate metabolic process",21
"67","GO:0046483","heterocycle metabolic process",4846,5,2.08,54,0.02125,1,1,1,"nucleobase-containing compound metabolic process",6
"68","GO:0061525","hindgut development",72,1,0.03,70,0.03049,1,1,1,"ectodermal digestive tract morphogenesis",4
"69","GO:0072521","purine-containing compound metabolic pro...",538,2,0.23,52,0.01997,1,1,1,"nucleobase-containing compound metabolic process",6
"70","GO:0072527","pyrimidine-containing compound metabolic...",79,1,0.03,71,0.03341,1,1,1,"pyrimidine nucleotide catabolic process",5
"71","GO:0072529","pyrimidine-containing compound catabolic...",27,1,0.01,35,0.01153,1,1,1,"pyrimidine nucleotide catabolic process",5
"72","GO:1901135","carbohydrate derivative metabolic proces...",1286,3,0.55,41,0.01253,1,1,1,"deoxyribonucleotide catabolic process",3
"73","GO:1901292","nucleoside phosphate catabolic process",68,1,0.03,66,0.02881,1,1,1,"purine nucleoside monophosphate metabolic process",21
"74","GO:1901360","organic cyclic compound metabolic proces...",5075,5,2.18,60,0.02626,1,1,1,"pyrimidine nucleotide catabolic process",5
