Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
[BLASTED]	Ahyacinthus03593-RA	"hypothetical protein pdam_00021783, partial"	338	1	3.96E-31	69.7								
[NO-BLAST]	Ahyacinthus03597-RA	---NA---	909											
[BLASTED]	Ahyacinthus03603-RA	calmodulin-binding transcription activator 2-like	324	10	9.03E-63	72.48								
[BLASTED]	Ahyacinthus03610-RA	"dynamin-like 120 kDa protein, mitochondrial isoform X1"	2531	10	0	76.77								
[BLASTED]	Ahyacinthus03608-RA	cellular tumor antigen p53-like	276	8	3.03E-30	80.17								
[BLASTED]	Ahyacinthus03611-RA	"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2-like"	1758	10	0	65.44								
[BLASTED]	Ahyacinthus03619-RA	uncharacterized protein LOC114961923	7491	10	0	65.57								
[BLASTED]	Ahyacinthus03621-RA	uncharacterized protein LOC114961923	612	10	2.52E-72	76.92								
[BLASTED]	Ahyacinthus03628-RA	Collagen alpha-4(VI) chain	594	10	1.42E-89	72.7								
[BLASTED]	Ahyacinthus03992-RA	ephrin type-A receptor 7-like isoform X3	1056	10	0	78.1								
[BLASTED]	Ahyacinthus04007-RA	ephrin type-B receptor 1-B-like isoform X1	2040	10	0	79.25								
[BLASTED]	Ahyacinthus04008-RA	ephrin type-A receptor 4a-like	393	10	2.17E-86	96.05								
[BLASTED]	Ahyacinthus04009-RA	ephrin type-A receptor 7-like	2606	10	0	79.47								
[BLASTED]	Ahyacinthus04825-RA	"yrdC domain-containing protein, mitochondrial-like"	543	10	1.14E-113	80.01								
[NO-BLAST]	Ahyacinthus04826-RA	---NA---	322											
[BLASTED]	Ahyacinthus04841-RA	"presequence protease, mitochondrial-like"	279	10	2.71E-56	86.71								
[BLASTED]	Ahyacinthus04852-RA	L-cysteine desulfhydrase-like	889	10	5.49E-94	69.17								
[BLASTED]	Ahyacinthus04854-RA	transient receptor potential cation channel subfamily A member 1-like	3198	10	0	61.51								
[BLASTED]	Ahyacinthus04848-RA	neural cell adhesion molecule 2-like	495	10	5.41E-42	84.04								
[BLASTED]	Ahyacinthus04870-RA	TNF receptor-associated factor 5-like	297	10	8.86E-64	93.27								
[BLASTED]	Ahyacinthus04863-RA	transient receptor potential cation channel subfamily A member 1-like	3024	10	0	70.98								
[BLASTED]	Ahyacinthus04868-RA	uncharacterized protein LOC114959728	522	1	2.98E-33	87.67								
[BLASTED]	Ahyacinthus04871-RA	unconventional myosin-IXa-like	2706	10	0	71.35								
[BLASTED]	Ahyacinthus04874-RA	PAX3- and PAX7-binding protein 1-like	1305	10	0	71.51								
[BLASTED]	Ahyacinthus04887-RA	kinesin-like protein KIF20B	4002	10	0	73.59								
[BLASTED]	Ahyacinthus04889-RA	F-box/WD repeat-containing protein 7	1415	10	0	79.15								
[BLASTED]	Ahyacinthus04888-RA	nuclear migration protein nudC-like	672	10	1.91E-100	64.5								
[BLASTED]	Ahyacinthus04897-RA	retinol dehydrogenase 8-like	1431	10	0	94.46								
[BLASTED]	Ahyacinthus04901-RA	neuronal acetylcholine receptor subunit alpha-7-like	1605	10	0	81.19								
[BLASTED]	Ahyacinthus04895-RA	retinol dehydrogenase 8-like	873	10	0	95.57								
[BLASTED]	Ahyacinthus04907-RA	fibropellin-1-like isoform X3	1947	10	0	86.73								
